"Drug name"	"Active ingredient"	"Approval Date"	"Indication"	"Study ID"	"Study type"	"original_duration_years"	"Study classification"	"Neonate"	"Infant"	"Early childhood"	"Late childhood"	"Adolescent"	"Unspecified"	"ATC_category"	"BLA"	"Study report submission due date"	"Submission date"	"Status of current PMR"	"New PMR #2"	"New PMR replacing superseded PMR"	"PREA labeling change type"
"Horizant"	NA	2011-04-06	NA	"PMR 1588-4"	"Primary safety study or clinical trial"	11.233401779603	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2022-06-30	NA	"Released"	NA	NA	NA
"Viibryd"	"vilazodone hydrochloride"	2011-01-21	"To treat major depressive disorder in adults."	"PMR 1723-1"	NA	5.02669404517454	"safety"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"N"	2016-01-31	NA	"Released"	NA	NA	"safety and effectiveness not established"
"Viibryd"	NA	2011-01-21	NA	"PMR 1723-2"	NA	5.02669404517454	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"N"	2016-01-31	2019-08-01	"Fulfilled"	NA	"1723-12"	NA
"Viibryd"	NA	2011-01-21	NA	"PMR 1723-3"	NA	5.02669404517454	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2016-01-31	2019-08-01	"Fulfilled"	NA	NA	NA
"Fulyzaq (name change to Mytesi)"	"crofelemer"	2012-12-31	"To treat HIV/AIDS patients whose diarrhea is not caused by an infection from a virus, bacteria, or parasite."	"PMR 1975-1"	NA	4.99931553730322	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2017-12-31	NA	"Released"	NA	NA	"NONE"
"Neutroval (name change to Granix?)"	"tbo-filgrastim"	2012-08-29	"To reduce the time certain patients receiving cancer chemotherapy experience severe neutropenia, a decrease in infection-fighting white blood cells called neutrophils."	"PMR-1"	NA	4.33949349760438	"safety"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Antineoplastic agents"	"125294"	2016-12-31	2018-01-31	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Aubagio"	"teriflunomide"	2012-09-12	"For the treatment of adults with relapsing forms of multiple sclerosis (MS)."	"PMR 1924-1"	"Other: A prospective study in children ages 10-17 that is a randomized, placebo-controlled, doubleblind efficacy and safety study."	5.30047912388775	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Hematologic agents"	"N"	2017-12-31	2020-11-02	"Fulfilled"	NA	NA	"safety and effectiveness not established"
"Jetrea"	"ocriplasmin"	2012-10-17	"To treat an eye condition called symptomatic vitreomacular adhesion (VMA)."	"PMR 2711-1"	NA	0.205338809034908	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"125422"	2012-12-31	2013-12-19	"Fulfilled"	NA	NA	"safety and effectiveness not established"
"Myrbetriq"	"mirabegron"	2012-06-28	"To treat adults with overactive bladder."	"PMR 1898-1"	"Pharmacokinetic studies or clinical trials"	6.25598904859685	"PK"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2018-09-30	2017-03-31	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Myrbetriq"	NA	2012-06-28	NA	"PMR 1898-2"	"Pharmacokinetic studies or clinical trials"	12.0054757015743	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2024-06-30	2020-09-28	"Fulfilled"	NA	NA	NA
"Stribild"	"elvitegravir, cobicistat, emtricitabine, tenofovir disoproxil fumarate"	2012-08-27	"A once-a-day combination pill to treat HIV-1 infection in adults who have never been treated for HIV infection."	"PMR 1919-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	4.26009582477755	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2016-11-30	2016-07-28	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Stribild"	NA	2012-08-27	NA	"PMR 1919-2"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	6.34360027378508	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Antiinfectives for systemic use"	"N"	2018-12-31	NA	"Released"	NA	NA	NA
"Xeljanz"	"tofacitinib"	2012-11-06	"To treat adults with moderately to severely active rheumatoid arthritis (RA) who have had an inadequate response to, or who are intolerant of, methotrexate."	"PMR 1934-1"	"Pharmacokinetic studies or clinical trial
Dosing trial"	1.89733059548255	"safety"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Immunomodulating agents"	"N"	2014-09-30	2016-09-26	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Xeljanz"	NA	2012-11-06	NA	"PMR 1934-2"	"Primary safety study or clinical trial"	4.89801505817933	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Immunomodulating agents"	"N"	2017-09-30	2020-03-26	"Fulfilled"	NA	NA	NA
"Linzess"	"linaclotide"	2012-08-30	"To treat chronic idiopathic constipation in adults."	"PMR 1915-2"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	11.3347022587269	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2023-12-31	NA	"Delayed"	"2161-2"	"2161-1"	"addition of pediatric approval"
"Linzess"	NA	2012-08-30	NA	NA	NA	11.3347022587269	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2023-12-31	2022-12-14	"Fulfilled"	"2161-3"	NA	NA
"Linzess"	NA	2012-08-30	"To treat irritable bowel syndrome with constipation (IBS-C) in adults."	"PMR 1915-3"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	11.3347022587269	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2023-12-31	NA	"Delayed"	NA	NA	"NONE"
"Fycompa"	"perampanel"	2012-10-22	"To treat partial onset seizures in patients with epilepsy ages 12 years and older."	"PMR 1932-1"	"Pharmacokinetic studies or clinical trials"	4.60506502395619	"PK"	"N"	"Y"	"Y"	"Y"	"N"	"N"	"Nervous system"	"N"	2017-05-31	2023-12-16	"Fulfilled"	NA	NA	"age expansion"
"Fycompa"	NA	2012-10-22	NA	"PMR 1932-2"	"Pharmacokinetic studies or clinical trials"	2.43668720054757	"PK"	"N"	"N"	"Y"	"Y"	"N"	"N"	"Nervous system"	"N"	2015-03-31	2016-07-27	"Fulfilled"	NA	NA	NA
"Fycompa"	NA	2012-10-22	NA	"PMR 1932-3"	"Primary safety study or clinical trial"	5.43737166324435	"efficacy"	"N"	"N"	"Y"	"Y"	"N"	"N"	"Nervous system"	"N"	2018-03-31	NA	"Released"	NA	NA	NA
"Fycompa"	NA	2012-10-22	NA	"PMR 1932-4"	"Primary safety study or clinical trial"	7.43874058863792	"efficacy"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Nervous system"	"N"	2020-03-31	NA	"Pending"	NA	"3496-1"	NA
"Fycompa"	NA	2012-10-22	NA	NA	NA	7.43874058863792	"PK"	"N"	"N"	"Y"	"N"	"N"	"N"	"Nervous system"	"N"	2020-03-31	NA	"Ongoing"	NA	"3496-2"	NA
"Tecfidera"	"dimethyl fumarate"	2013-03-27	"To treat adults with relapsing forms of multiple sclerosis (MS)."	"PMR 2014-1"	"Other: PREA pediatric clinical trial"	6.92676249144422	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"N"	2020-02-29	NA	"Pending"	"2014-8"	"2014-7"	"NONE"
"Dotarem"	"gadoterate meglumine"	2013-03-20	"For use in magnetic resonance imaging (MRI) of the brain, spine and associated tissues of patients ages 2 years and older."	"PMR 2021-2"	NA	3.27994524298426	"PK"	"Y"	"Y"	"N"	"N"	"N"	"N"	"Other"	"N"	2016-06-30	2016-10-27	"Fulfilled"	NA	NA	"age expansion"
"Invokana"	"canagliflozin"	2013-03-29	"Used with diet and exercise, to improve glycemic control in adults with type 2 diabetes."	"PMR 2027-1"	"Pharmacokinetic studies or clinical trials"	2.25325119780972	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2015-06-30	2016-06-30	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Invokana"	NA	2013-03-29	NA	"PMR 2027-2"	"Other: Subpopulation pediatric subjects aged 10 to < 18 years old with T2DM"	7.75906913073238	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2020-12-31	2024-06-18	"Fulfilled"	NA	NA	NA
"Luzu"	"luliconozole"	2013-11-14	"For the topical treatment of interdigital tinea pedis, tinea cruris, and tinea corporis caused by the organisms Trichophyton rubrum and Epidermophyton floccosum, in patients 18 years of age and older."	"PMR 2101-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	3.45790554414784	"PK"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2017-04-30	2017-04-21	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Luzu"	NA	2013-11-14	NA	"PMR 2101-2"	"Pharmacokinetic studies or clinical trials"	3.29089664613279	"PK"	"N"	"N"	"N"	"N"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2017-02-28	2017-02-27	"Fulfilled"	NA	NA	NA
"Lymphoseek"	"technetium Tc 99m tilmanocept"	2013-03-13	"A radioactive diagnostic imaging agent that helps doctors locate lymph nodes in patients with breast cancer or melanoma who are undergoing surgery to remove tumor-draining lymph nodes."	"PMR 2789-1"	NA	3.46064339493498	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Other"	"N"	2018-03-31	2020-07-22	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Sovaldi"	"sofosbuvir"	2013-12-06	"To treat chronic hepatitis C virus (HCV) infection."	"PMR 2110-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	5.22929500342231	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2019-02-28	2019-02-28	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Sovaldi"	NA	2013-12-06	NA	"PMR 2110-2"	"Observational pharmacoepidemiologic study"	9.73305954825462	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2023-08-31	2023-06-28	"Fulfilled"	NA	NA	"age expansion"
"Tivicay"	"dolutegravir"	2013-08-12	"To treat HIV-1 infection."	"PMR 2078 -1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	5.13347022587269	"efficacy"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2018-09-30	2019-12-12	"Fulfilled"	NA	"3091-1"	"age expansion"
"Tivicay"	NA	2013-08-12	NA	"PMR 2078 -2"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	9.47022587268994	"efficacy"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2023-01-31	2019-12-12	"Fulfilled"	NA	"3091-2"	"age expansion"
"Tivicay"	NA	2013-08-12	NA	NA	NA	9.47022587268994	"safety"	"Y"	"Y"	"Y"	"Y"	"N"	"N"	"Antiinfectives for systemic use"	"N"	2023-01-31	2015-12-09	"Fulfilled"	NA	"3091-3"	NA
"Tivicay"	NA	2013-08-12	NA	NA	NA	9.47022587268994	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Antiinfectives for systemic use"	"N"	2023-01-31	NA	"Released"	NA	"3091-4"	NA
"Tivicay"	NA	2013-08-12	NA	NA	NA	9.47022587268994	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2023-01-31	NA	"Released"	NA	"3091-5"	NA
"Brintellix (name now Trintellix)"	"vortioxetine"	2013-09-30	"To treat adults with major depressive disorder."	"PMR 2084-1"	"Pharmacokinetic studies or clinical trials"	1.41273100616016	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Nervous system"	"N"	2015-02-28	2015-04-29	"Fulfilled"	NA	NA	"safety and effectiveness not established"
"Brintellix (name now Trintellix)"	NA	2013-09-30	NA	"PMR 2084-2"	"Other: Pediatric safety and efficacy studies"	5.57973990417522	"efficacy"	"N"	"N"	"N"	"Y"	"N"	"N"	"Nervous system"	"N"	2019-04-30	NA	"Released"	NA	"2084-7"	"age expansion"
"Brintellix (name now Trintellix)"	NA	2013-09-30	NA	"PMR 2084-3"	"Other: Pediatric safety and efficacy studies"	5.57973990417522	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2019-04-30	2020-07-24	"Fulfilled"	NA	"2084-8"	NA
"Nesina"	"alogliptin"	2013-01-25	"To improve blood sugar control in adults with type 2 diabetes."	"PMR 2007-1"	"Other: Subpopulation: Pediatric patients ages 10 to 17 years (inclusive) with T2DM"	1.42642026009582	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2014-06-30	2014-06-24	"Fulfilled"	NA	NA	"safety and effectiveness not established"
"Nesina"	NA	2013-01-25	NA	"PMR 2007-2"	"Other: Subpopulation: Pediatric patients ages 10 to 17 years (inclusive) with T2DM"	7.01437371663244	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2020-01-31	2022-09-28	"Fulfilled"	NA	NA	NA
"Nesina"	NA	2013-01-25	NA	"PMR 2007-3"	"Other: Subpopulation: Pediatric patients ages 10 to 17 years (inclusive) with T2DM"	8.34496919917864	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2021-05-31	2022-09-28	"Fulfilled"	NA	NA	NA
"Aptiom"	"eslicarbazepine acetate"	2013-11-08	"As an add-on medication to treat seizures associated with epilepsy."	"PMR 2099-2"	"Pharmacokinetic studies or clinical trials"	7.39219712525667	"PK"	"N"	"Y"	"Y"	"Y"	"Y"	"N"	"Nervous system"	"N"	2021-03-31	2023-07-26	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Aptiom"	NA	2013-11-08	NA	"PMR 2099-3"	"Primary safety study or clinical trial"	5.14442162902122	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2018-12-31	2017-03-13	"Fulfilled"	NA	NA	NA
"Aptiom"	NA	2013-11-08	NA	"PMR 2099-4"	"Primary safety study or clinical trial"	5.63997262149213	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Nervous system"	"N"	2019-06-30	2017-03-13	"Fulfilled"	NA	NA	NA
"Aptiom"	NA	2013-11-08	NA	"PMR 2099-5"	"Primary safety study or clinical trial"	9.30595482546201	"efficacy"	"N"	"N"	"Y"	"Y"	"N"	"N"	"Nervous system"	"N"	2023-02-28	2017-03-13	"Fulfilled"	NA	NA	NA
"Aptiom"	NA	2013-11-08	NA	"PMR 2099-6"	"Primary safety study or clinical trial"	10.1437371663244	"efficacy"	"N"	"N"	"Y"	"Y"	"N"	"N"	"Nervous system"	"N"	2023-12-31	2017-03-13	"Fulfilled"	NA	NA	NA
"Aptiom"	NA	2013-11-08	NA	"PMR 2099-7"	"Primary safety study or clinical trial"	10.7268993839836	"efficacy"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Nervous system"	"N"	2024-07-31	NA	"Ongoing"	NA	NA	NA
"Aptiom"	NA	2013-11-08	NA	"PMR 2099-8"	"Primary safety study or clinical trial"	11.5592060232717	"efficacy"	"N"	"Y"	"Y"	"N"	"N"	"N"	"Nervous system"	"N"	2025-05-31	NA	"Ongoing"	NA	NA	NA
"Rapivab"	"peramivir"	2014-12-19	"To treat influenza infection in adults"	"PMR 2831-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	4.03285420944558	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2018-12-31	NA	"Delayed"	NA	NA	"addition of pediatric approval"
"Jublia"	"efinaconazole"	2014-06-06	"Treat mild to moderate onychomycosis (fungal infection)"	"PMR 2156-1"	"Pharmacokinetic studies or clinical trials"	4.31759069130732	"safety"	"N"	"N"	"N"	"N"	"Y"	"N"	"Other"	"N"	2018-09-30	2019-06-27	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Kerydin"	"tavaborole"	2014-07-07	"For the topical treatment of onychomycosis of the toenails"	"PMR 2154-1"	"Pharmacokinetic studies or clinical trials"	4.98015058179329	"efficacy"	"N"	"N"	"N"	"N"	"Y"	"N"	"Other"	"N"	2019-06-30	2018-02-02	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Lumason"	"sulfur hexafluoride lipid microsphere"	2014-10-10	"For patients whose ultrasound image of the heart (echocardiograms) are hard to see with ultrasound waves"	"PMR 2803-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	3.63860369609856	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Other"	"N"	2018-05-31	2019-01-30	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Plegridy"	"peginterferon beta-1a"	2014-08-15	"For the treatment of patients with relapsing forms of multiple sclerosis"	"PMR 2760-1"	"Other: PREA pediatric clinical trial"	5.29226557152635	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Immunomodulating agents"	"125499"	2019-11-30	NA	"Released"	NA	NA	"NONE"
"Farxiga"	"dapaglifozin"	2014-01-08	"To improve glycemic control, along with diet and exercise, in adults with type 2 diabetes"	"PMR 2121-1"	NA	1.13894592744695	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2015-02-28	2015-03-31	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Farxiga"	NA	2014-01-08	NA	"PMR 2121-2"	NA	6.64476386036961	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	NA	"Alimentary tract and metabolism"	"N"	2020-08-31	2023-12-12	"Fulfilled"	NA	"3199-1"	NA
"Harvoni"	"ledipasvir/sofosbuvir"	2014-10-10	"To treat chronic hepatitis C virus (HCV) genotype 1 infection"	"PMR 2780-1"	"Primary safety study or clinical trial
Pharmacokinetic studies or clinical trials"	4.38603696098563	"safety"	"N"	"N"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2019-02-28	2019-02-28	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Harvoni"	NA	2014-10-10	NA	"PMR 2780-2"	"Primary safety study or clinical trial
Observational pharmacoepidemiologic study"	8.88980150581793	"safety"	"N"	"N"	"Y"	"Y"	"Y"	NA	"Antiinfectives for systemic use"	"N"	2023-08-31	2023-06-28	"Fulfilled"	NA	NA	"age expansion"
"Orbactiv"	"oritavancin"	2014-08-06	"To treat adults with skin infections"	"PMR 2165-1"	"Pharmacokinetic studies or clinical trials
Other: an open-label, dose-finding, pharmacokinetics, safety and tolerability study"	3.15126625598905	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2017-09-30	NA	"Delayed"	NA	NA	"NONE"
"Orbactiv"	NA	2014-08-06	NA	"PMR 2165-2"	"Primary safety study or clinical trial"	6.40383299110198	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	NA	"Antiinfectives for systemic use"	"N"	2020-12-31	NA	"Delayed"	NA	NA	NA
"Trulicity"	"dulaglutide"	2014-09-18	"To treat adults with type 2 diabetes."	"PMR 2781-1"	"Primary safety study or clinical trial"	8.36960985626283	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"125469"	2023-01-31	2022-05-17	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Zerbaxa"	"ceftolozane/tazobactam"	2014-12-19	"To treat adults with complicated urinary tract infections (cUTI)"	"PMR 2809-1"	"Primary safety study or clinical trial"	6.03422313483915	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2020-12-31	2021-06-21	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Zerbaxa"	NA	2014-12-19	"To treat adults with complicated intra-abdominal infections (cIAI)"	"PMR 2809-2"	"Primary safety study or clinical trial"	6.03422313483915	"safety"	"Y"	"Y"	"Y"	"Y"	"Y"	NA	"Antiinfectives for systemic use"	"N"	2020-12-31	2021-07-02	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Akynzeo"	"netupitant and palonosetron"	2014-10-10	"To treat nausea and vomiting in patients undergoing cancer chemotherapy"	"PMR 2769-2"	"Pharmacokinetic studies or clinical trials"	3.97262149212868	"PK"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2018-09-30	2020-06-26	"Fulfilled"	NA	NA	"NONE"
"Akynzeo"	NA	2014-10-10	NA	"PMR 2769-3"	"Other: PREA Efficacy and Safety Study"	7.55373032169747	"efficacy"	"Y"	"Y"	"Y"	"Y"	"Y"	NA	"Alimentary tract and metabolism"	"N"	2022-04-30	NA	"Pending"	NA	"2769-6"	NA
"Jardiance"	"empagliflozin"	2014-08-01	"To improve gylcemic control in adults with type 2 diabetes"	"PMR 2755-1"	"Pharmacokinetic studies or clinical trials"	1.4154688569473	"PK"	"N"	"N"	"N"	"Y"	"Y"	"N"	"Alimentary tract and metabolism"	"N"	2015-12-31	2016-10-12	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Jardiance"	NA	2014-08-01	NA	"PMR 2755-2"	"Primary safety study or clinical trial"	5.08145106091718	"efficacy"	"N"	"N"	"N"	"Y"	"Y"	NA	"Alimentary tract and metabolism"	"N"	2019-08-31	2022-12-20	"Fulfilled"	NA	"3300-1"	NA
"Dalvance"	"dalbavancin"	2014-05-23	"To treat adults with skin infections"	"PMR 2145-1"	"Pharmacokinetic studies or clinical trials"	1.35523613963039	"PK"	"Y"	"Y"	"Y"	"Y"	"Y"	"N"	"Antiinfectives for systemic use"	"N"	2015-09-30	2016-03-31	"Fulfilled"	NA	NA	"addition of pediatric approval"
"Dalvance"	NA	2014-05-23	NA	"PMR 2145-2"	"Pharmacokinetic studies or clinical trials"	3.02258726899384	"PK"	"Y"	"Y"	"N"	"N"	"N"	NA	"Antiinfectives for systemic use"	"N"	2017-05-31	2020-04-28	"Fulfilled"	NA	NA	NA
