"Study ID"	"PREA labeling change type"	"Resulting label change from PMR (N if not, date if Y)"
"PMR 2831-1"	"addition of pediatric approval"	"1/28/2021"
"PMR 2156-1"	"addition of pediatric approval"	"4/26/2020"
"PMR 2154-1"	"addition of pediatric approval"	"7/30/2018"
"PMR 2803-1"	"addition of pediatric approval"	"11/13/2019"
"PMR 2760-1"	"NONE"	"N"
"PMR 2121-1"	"addition of pediatric approval"	"6/12/2024"
"PMR 2121-2"	"addition of pediatric approval"	"6/12/2024"
"PMR 2780-1"	"addition of pediatric approval"	"04/07/2017"
"PMR 2780-2"	"age expansion"	"08/28/2019"
"PMR 2165-1"	"NONE"	"N"
"PMR 2165-2"	NA	"N"
"PMR 2781-1"	"addition of pediatric approval"	"11/17/2022"
"PMR 2809-1"	"addition of pediatric approval"	"4/21/2022"
"PMR 2809-2"	"addition of pediatric approval"	"4/21/2022"
"PMR 2769-2"	"NONE"	"N"
"PMR 2769-3"	NA	"N"
"PMR 2755-1"	"addition of pediatric approval"	"6/20/2023"
"PMR 2755-2"	"addition of pediatric approval"	"6/20/2023"
"PMR 2145-1"	"addition of pediatric approval"	"07/22/2021"
"PMR 2145-2"	"addition of pediatric approval"	"07/22/2021"
"PMR 2145-3"	"addition of pediatric approval"	"07/22/2021"
"PMR 2145-4"	"addition of pediatric approval"	"07/22/2021"
"PMR 2719-2"	"NONE"	"N"
"PMR 2719-3"	NA	"N"
"PMR 2719-4"	NA	"N"
"PMR 2159-1"	"addition of pediatric approval"	"6/19/2020"
"PMR 2159-2"	NA	"N"
"PMR 2159-3"	NA	"N"
"PMR 2159-4"	NA	"N"
"PMR 2159-5"	NA	"N"
"PMR 3003-1"	"addition of pediatric approval"	"06/25/2021"
"3003-9"	"age expansion"	"12/12/2024"
"3003-7"	NA	"N"
"PMR 2848-1"	"addition of pediatric approval"	"05/28/2021"
"PMR 2971-1"	"age expansion"	"9/25/2017"
"PMR 2927-1"	"addition of pediatric approval"	"03/08/2024"
"PMR 2946-1"	"addition of pediatric approval"	"09/24/2021"
"PMR 2954-1"	"addition of pediatric approval"	"12/16/2016"
"PMR 2979-1"	"age expansion"	"09/12/2019"
"PMR 2979-2"	"age expansion"	"09/12/2019"
"PMR 2852-1"	"safety and effectiveness not established"	"10/18/23"
"PMR 2852-2"	NA	"N"
"PMR 2980-1"	"addition of pediatric approval"	"10/2/2023"
"PMR 2980-2"	NA	"N"
"PMR 2862-1"	"addition of pediatric approval"	"3/14/2019"
"PMR 2862-2"	"addition of pediatric approval"	"3/14/2019"
"PMR 2862-3"	"age expansion"	"1/26/2024"
"PMR 2879-2"	"NONE"	"N"
"PMR 2879-3"	NA	"N"
"PMR 2901-1"	"NONE"	"N"
"2901-11"	NA	"N"
"PMR 2901-2"	NA	"N"
"2901-13"	NA	"N"
"PMR 2901-3"	NA	"N"
"PMR 2929-1"	"addition of pediatric approval"	"12/27/2021"
"PMR 2929-2"	NA	"N"
"PMR 2929-3"	NA	"N"
"PMR 2947-3"	"NONE"	"N"
"PMR 2947-4"	NA	"N"
"PMR 2947-5"	NA	"N"
"PMR 2947-6"	NA	"N"
"PMR 3142-1"	"age expansion"	"3/23/2020"
"PMR 3118-1"	"addition of pediatric approval"	"5/26/2023"
"PMR 3049-1"	"addition of pediatric approval"	"03/26/2020"
"PMR 3102-1"	"NONE"	"N"
"PMR 3102-2"	NA	"N"
"PMR 3092-1"	"addition of pediatric approval"	"3/19/2020"
"PMR 3092-2"	"age expansion"	"6/10/2021"
"PMR 3008-1"	"addition of pediatric approval"	"12/9/2021"
"PMR 3008-2"	NA	"N"
"PMR 3042-1"	"age expansion"	"5/10/2018"
"PMR 3042-2"	"age expansion"	"8/27/2021"
"PMR 3042-3"	"age expansion"	"8/27/2021"
"PMR 3042-4"	NA	"N"
"PMR 3117-1"	"NONE"	"N"
"PMR 3117-2"	NA	"N"
"PMR 3117-3"	NA	"N"
"PMR 3117-4"	NA	"N"
"PMR 3117-5"	NA	"N"
"PMR 3117-6"	NA	"N"
"PMR 3108-1"	"NONE"	"N"
"PMR 3108-2"	NA	"N"
"PMR 3108-3"	NA	"N"
"PMR 3164-1"	"NONE"	"N"
"PMR 3164-2"	NA	"N"
"PMR 3164-3"	NA	"N"
"PMR 3194-1"	"NONE"	"N"
"PMR 3183-1"	"age expansion"	"05/26/2020"
"PMR 3183-2"	"addition of pediatric approval"	"03/11/2019"
"PMR 3183-3"	NA	"N"
"PMR 3183-4"	"age expansion"	"06/07/2022"
"PMR 3218-1"	"addition of pediatric approval"	"6/10/2024"
"PMR 3218-2"	NA	"N"
"PMR 3225-1"	"NONE"	"N"
"PMR 3232-1"	"NONE"	"N"
"PMR 3246-1"	"addition of pediatric approval"	"6/10/2021"
"PMR 3249-1"	"addition of pediatric approval"	"01/26/2022"
"PMR 3287-1"	"age expansion"	"04/05/2024"
"PMR 3294-1"	"NONE"	"N"
"PMR 3311-1"	"NONE"	"N"
"PMR 3320-2"	"NONE"	"N"
"PMR 3320-3"	NA	"N"
"PMR 3357-1"	"NONE"	"N"
"PMR 3373-1"	"NONE"	"N"
"PMR 3505-1"	"NONE"	"N"
"PMR 3505-2"	NA	"N"
"PMR 3292-2"	"NONE"	"N"
"PMR 3498-1"	"NONE"	"N"
"PMR 3498-2"	NA	"N"
"PMR 3529-1"	"NONE"	"N"
"PMR 3529-6"	NA	"N"
"PMR 3472-1"	"NONE"	"N"
"PMR 3472-2"	NA	"N"
"PMR 3322-1"	"addition of pediatric approval"	"10/07/2021"
"PMR 3322-2"	NA	"N"
"PMR 3322-3"	NA	"N"
"PMR 3415-1"	"addition of pediatric approval"	"01/27/2022"
"PMR 3415-2"	NA	"N"
"PMR 3415-3"	NA	"N"
"PMR 3503-1"	NA	"N"
"PMR 3503-2"	"age expansion"	"8/11/2022"
"PMR 3503-3"	"age expansion"	"8/11/2022"
"PMR 3487-1"	"NONE"	"N"
"PMR 3487-2"	NA	"N"
"PMR 3487-3"	NA	"N"
"PMR 3392-2"	"NONE"	"N"
"PMR 3392-3"	NA	"N"
"PMR 3392-4"	NA	"N"
"PMR 3485-2"	"NONE"	"N"
"PMR 3485-3"	NA	"N"
"PMR 3485-4"	NA	"N"
"PMR 3405-2"	"NONE"	"N"
"PMR 3405-3"	NA	"N"
"PMR 3405-4"	NA	"N"
"PMR 3391-2"	"NONE"	"N"
"PMR 3391-4"	NA	"N"
"3391-18"	NA	"N"
"PMR 3594-1"	"NONE"	"N"
"PMR 3535-1"	"addition of pediatric approval"	"06/16/2022"
"PMR 3591-2"	"NONE"	"N"
"PMR 3641-1"	"NONE"	"N"
"PMR 3641-2"	NA	"N"
"PMR 3680-1"	"addition of pediatric approval"	"4/26/2024"
"PMR 3680-2"	NA	"N"
"PMR 3760-1"	"NONE"	"N"
"PMR 3760-2"	NA	"N"
"PMR 3760-3"	NA	"N"
"PMR 3769-2"	"NONE"	"N"
"PMR 3769-3"	NA	"N"
"PMR 3672-1"	"NONE"	"N"
"PMR 3672-2"	NA	"N"
"PMR 3672-3"	NA	"N"
"PMR 3728-1"	"NONE"	"N"
"PMR 3728-2"	NA	"N"
"PMR 3728-3"	NA	"N"
"PMR 3667-1"	"NONE"	"N"
"PMR 3667-2"	NA	"N"
"PMR 3667-3"	NA	"N"
"PMR 3667-4"	NA	"N"
"PMR 3667-5"	NA	"N"
"PMR 3583-2"	"NONE"	"N"
"PMR 3583-3"	NA	"N"
"PMR 3583-4"	NA	"N"
"PMR 3583-5"	NA	"N"
"PMR 3712-2"	"NONE"	"N"
"PMR 3712-3"	NA	"N"
"PMR 3712-4"	NA	"N"
"PMR 3712-5"	NA	"N"
"PMR 3712-6"	NA	"N"
"PMR 3712-7"	NA	"N"
"PMR 3712-8"	NA	"N"
"PMR 3712-9"	NA	"N"
"PMR 3862-1"	"NONE"	"N"
"PMR 3919-1"	"age expansion"	"02/28/2024"
"PMR 3991-1"	"NONE"	"N"
"PMR 3797-1"	"NONE"	"N"
"PMR 3797-2"	NA	"N"
"PMR 3809-2"	"NONE"	"N"
"PMR 3890-1"	NA	"N"
"PMR 3890-2"	"addition of pediatric approval"	"4/28/2023"
"PMR 3478-2"	"NONE"	"N"
"PMR 3478-3"	NA	"N"
"PMR 3796-2"	"NONE"	"N"
"PMR 3796-3"	NA	"N"
"PMR 3796-4"	NA	"N"
"PMR 3799-2"	"NONE"	"N"
"PMR 3799-3"	NA	"N"
"PMR 3799-4"	NA	"N"
"PMR 3889-1"	"NONE"	"N"
"PMR 3889-2"	NA	"N"
"PMR 3902-1"	"NONE"	"N"
"PMR 3902-2"	NA	"N"
"PMR 3902-3"	NA	"N"
"PMR 3902-4"	NA	"N"
"PMR 4112-1"	"NONE"	"N"
"PMR 4116-1"	"NONE"	"N"
"PMR 4161-2"	"NONE"	"N"
"PMR 4024-1"	"NONE"	"N"
"PMR 4034-1"	"NONE"	"N"
"PMR 4029-2"	"NONE"	"N"
"PMR 3980-1"	"NONE"	"N"
"PMR 3980-2"	NA	"N"
"PMR 3942-1"	"NONE"	"N"
"PMR 3942-2"	NA	"N"
"PMR 4131-3"	"NONE"	"N"
"PMR 4186-1"	"NONE"	"N"
"PMR 4186-2"	NA	"N"
"PMR 4001-2"	"NONE"	"N"
"PMR 4007-1"	"NONE"	"N"
"PMR 4007-2"	NA	"N"
"PMR 4188-1"	"NONE"	"N"
"PMR 4188-2"	NA	"N"
"PMR 4188-3"	NA	"N"
"PMR 4152-2"	"NONE"	"N"
"PMR 4152-3"	NA	"N"
"PMR 3998-1"	"addition of pediatric approval"	"3/29/2022"
"PMR 3998-2"	NA	"N"
"PMR 3998-3"	NA	"N"
"PMR 3907-1"	"NONE"	"N"
"PMR 3905-1"	NA	"N"
"PMR 3905-2"	NA	"N"
"PMR 4015-1"	"addition of pediatric approval"	"12/14/2023"
"PMR 4015-2"	NA	"N"
"PMR 4015-3"	NA	"N"
"PMR 4015-4"	NA	"N"
"PMR 4150-5"	"NONE"	"N"
"PMR 4150-6"	NA	"N"
"PMR 4150-7"	NA	"N"
"PMR 4217-1"	"addition of pediatric approval"	"2/9/2023"
"PMR 4217-2"	NA	"N"
"PMR 4222-1"	"NONE"	"N"
"PMR 4222-2"	NA	"N"
"PMR 4271-1"	"NONE"	"N"
"PMR 4283-1"	"NONE"	"N"
"PMR 3891-1"	"NONE"	"N"
"PMR 3891-2"	NA	"N"
"PMR 4336-1"	"NONE"	"N"
"PMR 4336-2"	NA	"N"
"PMR 4341-1"	"NONE"	"N"
"PMR 4345-2"	"NONE"	"N"
"PMR 4333-1"	"NONE"	"N"
"PMR 4359-1"	"NONE"	"N"
"PMR 4371-1"	"NONE"	"N"
"PMR 4351-1"	"NONE"	"N"
"PMR 4324-1"	"NONE"	"N"
"PMR 4337-2"	"NONE"	"N"
"PMR 4547-1"	"NONE"	"N"
"PMR 4268-1"	"NONE"	"N"
"PMR 4268-2"	NA	"N"
"PMR 4296-1"	"NONE"	"N"
"PMR 4464-2"	"NONE"	"N"
"PMR 4028-1"	"NONE"	"N"
"PMR 3972-1"	"NONE"	"N"
"PMR 4435-2"	"NONE"	"N"
"PMR 4400-1"	"NONE"	"N"
"PMR 4463-1"	"NONE"	"N"
"PMR 4463-2"	NA	"N"
"PMR 4463-3"	NA	"N"
"PMR 4550-1"	"NONE"	"N"
"PMR 4392-1"	"NONE"	"N"
"PMR 4392-2"	NA	"N"
"PMR 4392-3"	NA	"N"
"PMR 4530-1"	"NONE"	"N"
"PMR 4530-2"	NA	"N"
"PMR 4548-1"	"NONE"	"N"
"PMR 4548-2"	NA	"N"
"PMR 4467-1"	"NONE"	"N"
"PMR 4499-1"	"NONE"	"N"
"PMR 4499-2"	NA	"N"
"PMR 4452-1"	"NONE"	"N"
"PMR 4408-2"	"NONE"	"N"
"PMR 4408-3"	NA	"N"
"PMR 4408-4"	NA	"N"
"PMR 4484-1"	"NONE"	"N"
